date,lux1,lux2,lux3,lux4,weather_condition,season,hour,part_of_day,lux_diff_1_2,lux_ratio_1_3,lux1_moving_avg,lux2_moving_avg,lux3_moving_avg,lux4_moving_avg,light1,light2,light3,light4,light5,light6,light7,light8,light9
2024-07-01,202,139,462,954,1,1,17,2,63,0.43722943722943725,565.6666666666666,414.3333333333333,621.3333333333334,808.3333333333334,100,100,100,49,100,100,100,100,100
2024-07-01,535,965,921,750,2,0,10,0,-430,0.5808903365906624,565.6666666666666,414.3333333333333,621.3333333333334,808.3333333333334,100,53,96,100,100,100,100,100,100
2024-07-01,960,139,481,721,1,1,5,0,821,1.995841995841996,565.6666666666666,414.3333333333333,621.3333333333334,808.3333333333334,12,100,100,100,100,100,100,100,100
2024-07-01,370,958,332,794,2,1,19,2,-588,1.1144578313253013,621.6666666666666,687.3333333333334,578.0,755.0,100,20,100,100,100,100,100,100,100
2024-07-01,206,848,876,639,1,0,20,2,-642,0.23515981735159816,512.0,648.3333333333334,563.0,718.0,100,100,100,100,100,100,100,100,100
2024-07-01,171,388,443,808,2,0,13,1,-217,0.3860045146726862,249.0,731.3333333333334,550.3333333333334,747.0,100,100,100,100,100,100,100,100,100
2024-07-01,800,361,648,290,1,0,20,2,439,1.2345679012345678,392.3333333333333,532.3333333333334,655.6666666666666,579.0,100,100,100,100,100,100,100,100,100
2024-07-01,120,315,916,414,2,0,12,1,-195,0.13100436681222707,363.6666666666667,354.6666666666667,669.0,504.0,100,100,93,100,100,100,100,100,100
2024-07-01,714,246,652,662,1,1,3,3,468,1.0950920245398772,544.6666666666666,307.3333333333333,738.6666666666666,455.3333333333333,100,100,100,100,100,100,100,100,100
2024-07-01,221,435,628,760,0,0,19,2,-214,0.3519108280254777,351.6666666666667,332.0,732.0,612.0,100,100,100,100,100,100,100,100,100
2024-07-01,566,267,955,879,2,0,19,2,299,0.5926701570680628,500.3333333333333,316.0,745.0,767.0,100,100,31,100,100,56,100,100,100
2024-07-01,314,191,888,661,1,0,10,0,123,0.3536036036036036,367.0,297.6666666666667,823.6666666666666,766.6666666666666,100,100,100,100,100,100,100,100,100
2024-07-01,430,452,918,999,2,0,17,2,-22,0.4684095860566449,436.6666666666667,303.3333333333333,920.3333333333334,846.3333333333334,100,100,69,0,100,67,100,100,100
2024-07-01,558,670,670,857,2,0,0,3,-112,0.8328358208955224,434.0,437.6666666666667,825.3333333333334,839.0,100,100,100,100,100,100,100,100,100
